"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"YESBANK","EQ","09-Nov-2017","        303.80","        305.95","        308.80","        302.00","        305.55","        304.65","        304.83","   15467103","          4714914268.15","     148883","    7695651","         49.75"
"YESBANK","EQ","10-Nov-2017","        304.65","        305.00","        309.90","        302.00","        304.05","        304.05","        305.90","   11561127","          3536594020.65","     105640","    5477919","         47.38"
"YESBANK","EQ","13-Nov-2017","        304.05","        306.75","        307.95","        303.05","        303.55","        303.75","        305.51","    6538482","          1997562875.00","      67264","    2999851","         45.88"
"YESBANK","EQ","14-Nov-2017","        303.75","        305.00","        306.35","        302.00","        302.35","        302.55","        303.49","    9724235","          2951160593.45","      89394","    6352064","         65.32"
"YESBANK","EQ","15-Nov-2017","        302.55","        302.80","        305.80","        295.60","        301.25","        300.95","        301.16","   13048729","          3929805901.65","     149421","    5957979","         45.66"
"YESBANK","EQ","16-Nov-2017","        300.95","        302.90","        303.95","        297.50","        302.05","        301.30","        300.57","    9008654","          2707717057.55","     136200","    4086599","         45.36"
"YESBANK","EQ","17-Nov-2017","        301.30","        308.00","        314.40","        305.10","        306.10","        306.10","        309.37","   18464900","          5712435815.65","     143006","    8536113","         46.23"
"YESBANK","EQ","20-Nov-2017","        306.10","        309.45","        314.00","        308.20","        313.70","        313.35","        312.34","    9652806","          3015000979.45","     102061","    3752566","         38.88"
"YESBANK","EQ","21-Nov-2017","        313.35","        316.00","        318.00","        310.70","        312.60","        312.30","        315.45","    9635431","          3039521760.30","     118386","    4971599","         51.60"
"YESBANK","EQ","22-Nov-2017","        312.30","        315.60","        315.80","        307.00","        310.00","        309.75","        310.37","    6979712","          2166290664.00","      68237","    2430800","         34.83"
"YESBANK","EQ","23-Nov-2017","        309.75","        310.00","        316.35","        307.15","        315.40","        313.25","        311.10","    7091441","          2206129702.75","      71956","    2125399","         29.97"
"YESBANK","EQ","24-Nov-2017","        313.25","        315.00","        315.95","        312.05","        312.50","        313.05","        313.79","    7331839","          2300635351.00","     177512","    4224165","         57.61"
"YESBANK","EQ","27-Nov-2017","        313.05","        312.00","        316.00","        309.50","        315.05","        315.30","        313.34","    5301460","          1661170684.00","      75958","    2211432","         41.71"
"YESBANK","EQ","28-Nov-2017","        315.30","        314.50","        316.90","        313.65","        314.35","        315.00","        315.36","    5342555","          1684805833.55","      99639","    2403441","         44.99"
"YESBANK","EQ","29-Nov-2017","        315.00","        315.00","        316.00","        310.95","        312.50","        312.90","        312.90","    5457734","          1707744862.95","      83570","    2895195","         53.05"
"YESBANK","EQ","30-Nov-2017","        312.90","        311.00","        311.95","        305.00","        306.90","        306.90","        308.44","    9124083","          2814266184.20","     121352","    5794432","         63.51"
"YESBANK","EQ","01-Dec-2017","        306.90","        307.80","        309.90","        305.10","        307.05","        306.85","        307.78","    6121307","          1884020343.65","      92298","    2912669","         47.58"
"YESBANK","EQ","04-Dec-2017","        306.85","        307.80","        308.20","        301.65","        303.95","        303.20","        303.71","    6436175","          1954746952.75","      79373","    3464270","         53.82"
